review_id,summary,pros,cons,rating,review_link,job_title,review_datetime,employment_status,is_current_employee,years_of_employment,location,advice_to_management,helpful_count,not_helpful_count,business_outlook_rating,career_opportunities_rating,ceo_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating,recommend_to_friend_rating,senior_management_rating,work_life_balance_rating,language
102542311,Don't join contract,Ijp Schedule Ot incentives Hike,"Politics, Language preference Break time is 45 minutes",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102542311.htm,Customer Support,2026-01-28T20:59:41.210Z,CONTRACT,True,1,Marathahalli,Increase 1 hour break to 1 hour 15 minutes,0,0,POSITIVE,4.0,NO_OPINION,4.0,4.0,4.0,POSITIVE,4.0,4.0,eng
102541104,Fairly good workplace,"Job stability once you get a permanent full-time contract
Reasonable perks
Efficient HR responses
Good facilities",Not too much flexibility with working hours,4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102541104.htm,Customer Service Representative,2026-01-28T19:29:30.707Z,REGULAR,True,2,"Toronto, ON",N/A,0,0,NEUTRAL,4.0,NO_OPINION,2.0,4.0,4.0,POSITIVE,5.0,2.0,eng
102540524,Good,excellent salary for a student for just knowing how to speak english,"depends on the account you are working for 
my account cons were achieving and still getting asked for more and the bad management",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102540524.htm,Customer Service Representative,2026-01-28T18:48:34.713Z,REGULAR,False,1,"Cairo, Cairo Governorate",be easy on your employees,0,0,,,,,,,,,,eng
102540082,Its not a bad position,"work from home, good breaks good hours plenty of OT if you want it.","quota set too high, limited timeframes for calls and after calls, not enough suppoer for new agents on the floor, no choice in all the OT or when we do the OT, way too hard to get commission",3,https://www.glassdoor.com/Reviews/Employee-Review--RVW102540082.htm,OnStar BBWC Advisor,2026-01-28T18:17:53.777Z,REGULAR,True,1,"Fort Wayne, IN",give more options on when mandated OT can be done more help to new agents,0,0,NEUTRAL,1.0,NO_OPINION,2.0,2.0,3.0,NEGATIVE,3.0,2.0,eng
102535899,Mis comentarios,Maquina de cafe y aire acondicionado,"Pocos breaks, y maquina esta desabastecida",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102535899.htm,Customer Service Agent,2026-01-28T13:48:20.867Z,REGULAR,True,1,"Lima, Lima Region",,0,0,POSITIVE,4.0,APPROVE,4.0,4.0,4.0,POSITIVE,4.0,4.0,eng
102535874,La mejor primera experiencia,"Excelente trato a su empleados y horarios flexibles, buenos beneficios.",Si vives un poco lejos puede que sea un poco difícil el tramo para llegar al site pero ya que cuentan con diferentes sedes en la ciudad no sería tan complicado.,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102535874.htm,Customer Service Agent,2026-01-28T13:47:10.337Z,REGULAR,True,1,"Lima, Lima Region",,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102535853,Encuesta,Muy buen ambiente de trabajo!,El aire acondicionado a veces es muy frío,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102535853.htm,Agent,2026-01-28T13:46:36.177Z,REGULAR,True,1,"Lima, Lima Region",,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102535837,Experience,"Best place to work, good environment",El Aire acondicionado muy fuerte,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102535837.htm,Customer Service Agent,2026-01-28T13:45:56.243Z,REGULAR,True,1,"Lima, Lima Region",Es bueno por ahora,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102535835,Review,"Planilla
Seguro
Aprendes sobre otras culturas y aumentas tu vocabulario","No hay restaurante 
Está un poco lejos de mi casa 😔",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102535835.htm,Agent,2026-01-28T13:45:50.027Z,REGULAR,True,1,"Lima, Lima Region",Implementen un restaurante (no tan caro porfa) una alianza con Sodexo o algo así,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102535810,Agents Experience,"Nice trainers, air condirtioning, nice coworkers and amazing security",Away from home and university,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102535810.htm,Agent,2026-01-28T13:44:50.863Z,REGULAR,True,1,"Lima, Lima Region",,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
