company,company_id,review_id,summary,pros,cons,rating,job_title,review_datetime,employment_status,is_current_employee,location,career_opportunities_rating,compensation_and_benefits_rating,recommend_to_friend_rating,senior_management_rating,work_life_balance_rating,language,advice_to_management,keyword_count
DELOITTE,2763,102543800,IS&amp;T Review,The new projects are good.,Execution of projects under leaders is bad.,3,Sr. Software Engineer,2026-01-28 22:58:10.890000+00:00,CONTRACT,False,"Austin, TX",3,4,POSITIVE,2,3,eng,n/a,1
DELOITTE,2763,102541640,was fun,Challenges were good to work through,the hours were long time,5,,2026-01-28 20:07:58.143000+00:00,REGULAR,False,,,,,,,eng,n/a,0
DELOITTE,2763,102541550,Okay job while in school,"Decent pay, Interesting Culture, Stock Options, and other benefits even at part time","Not much room for growth as a technician (in retail) anymore, lots of new metrics added recently that feel similar to other 'big box' retail stores. Not much of a genuine work life balance.",3,Tech Expert,2026-01-28 20:02:07.653000+00:00,PART_TIME,True,,2,5,POSITIVE,2,1,eng,Ease up on all these new metrics. Don't rate your technicians on how many business introductions they can get or how many things they can sell when we are there to fix our relationship with the customers.,0
DELOITTE,2763,102540487,Great place to work,Strong focus on privacy. Beautiful campus. Good work life balance.,"Sometimes teams can be siloed. Many teams working on similar problems but since teams are quite secretive about what they do, this problem exists.",4,SWE Intern,2026-01-28 18:45:23.367000+00:00,INTERN,True,"Cupertino, CA",,,,,,eng,n/a,0
DELOITTE,2763,102540112,College job,"Work from home, great for students, bonuses, vested stocks","Strict ACW, back to back calls",3,Mac+ Technical Support Advisor,2026-01-28 18:20:18.610000+00:00,PART_TIME,False,"Tallahassee, FL",,,,,,eng,n/a,0
DELOITTE,2763,102537677,"Great College Job, terrible internal promotions","Great benefits as part time, espp, loved my team that I worked with at Micigan Ave","Scheduling, favoritism amongst leadership team - seen a lot with promotions and who gets fired vs a warning, heavy on Apple Care conversions or business intros - hard when we're selling to international customers where they might not have AC+ support, very much lack of ability to move upward unless you drown yourself in Apple (work, sacrifice your time for them), some leaders do not lead by example (but they've been fired - just took wayyyy too long)",3,Sales Specialist,2026-01-28 15:28:15.107000+00:00,PART_TIME,False,"Chicago, IL",2,5,POSITIVE,3,3,eng,"Quit the favoritism, and treat the hard working employees well who deserve the promotions and tell the difference if someone is doing well or just trying to suck up to you. This isn't corporate sales - relax a bit.",0
DELOITTE,2763,102537409,Great,"- Great benefits
- Good pay
- Great company culture","- Very secretive, can't learn what other teams are doing and how
- General sterile California vibe (very PC, etc.)",5,Software Engineer,2026-01-28 15:09:50.243000+00:00,INTERN,False,"Cupertino, CA",5,5,POSITIVE,5,5,eng,n/a,0
DELOITTE,2763,102537240,Make a Difference for our Senior Community- Great Benefits- High Stess,"A Culture of Connection and Innovation Apple provides an environment where the ""human element"" is truly prioritized in the customer journey. The commitment to Steps of Service allows Specialists to go beyond simple transactions and build genuine rapport. Additionally, the peer-to-peer support is exceptional; working alongside highly skilled Technicians and fellow Specialists creates a collaborative atmosphere where everyone is trying to deliver excellence despite operational hurdles. It is a fast-paced, high-energy environment that rewards those who thrive on problem-solving and authentic connection.","Operational Strains and Leadership Visibility Gaps The primary challenge lies in the disconnect between ""peak volume"" and ""leadership presence."" During high-traffic periods, there is often a lack of visible management on the floor, leaving Specialists and Leads to navigate escalations, overrides, and sales guidance without adequate support. This often results in ""vague promises"" to customers (e.g., ""someone will be with you momentarily"") rather than actual service. When managers remain in back-office admin roles during these critical windows, it places an immense burden on the frontline team, leading to burnout and a feeling of being ""stretched beyond capacity.""",4,Specialist,2026-01-28 14:59:48.623000+00:00,PART_TIME,True,"Minnetonka, MN",5,5,POSITIVE,3,5,eng,"Lead by Example with a ""Triage"" Mindset To elevate store efficiency, leadership should adopt a more proactive, triage-inspired approach during peak hours. When the floor is at capacity, managers shouldn't just be ""visible"", they should be active participants in the initial Steps of Service.  Active Discovery: Instead of telling a customer ""it will be a moment,"" initiate the ""Group Discovery"" or ""Probing"" steps to begin a bag for the Specialist. This mirrors a healthcare intake process and ensures the customer feels ""seen"" immediately.

Structured Rotations: Implement clearer structures for when managers transition from admin tasks to floor support.

Accessibility: Ensure there is always a clearly designated leader on the floor who is not solely tied to a single customer interaction, but available to support the team with overrides and escalations. Modeling the behavior you want to see will significantly boost team morale and operational flow.",1
DELOITTE,2763,102526022,Good start,work life balance is okay and pay is good,"No serious cons, no good snacks in pantry",5,Design Engineer,2026-01-28 06:31:55.163000+00:00,REGULAR,True,Singapore,,,POSITIVE,,,eng,n/a,0
DELOITTE,2763,102515482,Great place to work,"Respectful peers, passionate colleagues, nice environment",Hard to get promotion at IC level,5,,2026-01-27 17:25:40.547000+00:00,REGULAR,True,,,,,,,eng,n/a,0
